SYMBOLS,balanceSheetHistoryQuarterly
20MICRONS.NS,"[{'2020-06-30': {'totalStockholderEquity': 1878032000, 'netTangibleAssets': 1814150000}}, {'2020-03-31': {'intangibleAssets': 16925000, 'capitalSurplus': 396708000, 'totalLiab': 2561244000, 'totalStockholderEquity': 1878032000, 'minorityInterest': 7498000, 'otherCurrentLiab': 77331000, 'totalAssets': 4446774000, 'commonStock': 176433000, 'otherCurrentAssets': 261531000, 'retainedEarnings': 1293719000, 'otherLiab': 312225000, 'goodWill': 216000, 'treasuryStock': 11172000, 'otherAssets': 144619000, 'cash': 61057000, 'totalCurrentLiabilities': 1821295000, 'deferredLongTermAssetCharges': 7309000, 'shortLongTermDebt': 148869000, 'otherStockholderEquity': 11172000, 'propertyPlantEquipment': 2103288000, 'totalCurrentAssets': 2163439000, 'longTermInvestments': 18287000, 'netTangibleAssets': 1860891000, 'shortTermInvestments': 210000, 'netReceivables': 863423000, 'longTermDebt': 389234000, 'inventory': 977218000, 'accountsPayable': 879710000}}, {'2019-12-31': {'totalStockholderEquity': 1815470000, 'netTangibleAssets': 1766680000}}, {'2019-09-30': {'intangibleAssets': 48790000, 'totalLiab': 2231248000, 'totalStockholderEquity': 1815470000, 'minorityInterest': 6695000, 'otherCurrentLiab': 314809000, 'totalAssets': 4053413000, 'commonStock': 176433000, 'otherCurrentAssets': 158098000, 'otherLiab': 333568000, 'treasuryStock': 1639037000, 'otherAssets': 115320000, 'cash': 95996000, 'totalCurrentLiabilities': 1507421000, 'otherStockholderEquity': 1639037000, 'propertyPlantEquipment': 2030993000, 'totalCurrentAssets': 1803138000, 'longTermInvestments': 55172000, 'netTangibleAssets': 1766680000, 'shortTermInvestments': 30444000, 'netReceivables': 612706000, 'longTermDebt': 390259000, 'inventory': 905894000, 'accountsPayable': 504990000}}]"
21STCENMGM.NS,[]
3IINFOTECH.NS,"[{'2020-06-30': {'totalStockholderEquity': 3914700000, 'netTangibleAssets': -2741700000}}, {'2020-03-31': {'intangibleAssets': 2305800000, 'totalLiab': 11371900000, 'totalStockholderEquity': 3914700000, 'otherCurrentLiab': 2485100000, 'totalAssets': 15286600000, 'commonStock': 16166500000, 'otherCurrentAssets': 285800000, 'otherLiab': 196200000, 'goodWill': 4350600000, 'treasuryStock': -12251800000, 'otherAssets': 1589100000, 'cash': 910000000, 'totalCurrentLiabilities': 3086500000, 'deferredLongTermAssetCharges': 38700000, 'otherStockholderEquity': -12251800000, 'propertyPlantEquipment': 1851100000, 'totalCurrentAssets': 5188400000, 'longTermInvestments': 1600000, 'netTangibleAssets': -2741700000, 'shortTermInvestments': 2075400000, 'netReceivables': 1917200000, 'longTermDebt': 7659100000, 'accountsPayable': 511900000}}, {'2019-12-31': {'totalStockholderEquity': 3319300000, 'netTangibleAssets': -3324900000}}, {'2019-09-30': {'intangibleAssets': 2293700000, 'totalLiab': 12128100000, 'totalStockholderEquity': 3319300000, 'minorityInterest': 50800000, 'otherCurrentLiab': 2479100000, 'totalAssets': 15498200000, 'commonStock': 16166400000, 'otherCurrentAssets': 429100000, 'otherLiab': 216400000, 'goodWill': 4350500000, 'treasuryStock': -12847100000, 'otherAssets': 1656800000, 'cash': 1019300000, 'totalCurrentLiabilities': 3251500000, 'deferredLongTermAssetCharges': 36800000, 'otherStockholderEquity': -12847100000, 'propertyPlantEquipment': 1833100000, 'totalCurrentAssets': 5362500000, 'longTermInvestments': 1600000, 'netTangibleAssets': -3324900000, 'shortTermInvestments': 1598700000, 'netReceivables': 2311000000, 'longTermDebt': 8660200000, 'inventory': 4400000, 'accountsPayable': 664200000}}]"
3MINDIA.NS,"[{'2020-06-30': {'totalStockholderEquity': 17508727000, 'netTangibleAssets': 17505250000}}, {'2020-03-31': {'intangibleAssets': 3477000, 'capitalSurplus': 94990000, 'totalLiab': 6204833000, 'totalStockholderEquity': 17508727000, 'otherCurrentLiab': 914407000, 'totalAssets': 23713560000, 'commonStock': 112651000, 'otherCurrentAssets': 664181000, 'retainedEarnings': 17378463000, 'otherLiab': 315524000, 'treasuryStock': -77377000, 'otherAssets': 1897245000, 'cash': 7805716000, 'totalCurrentLiabilities': 5712946000, 'deferredLongTermAssetCharges': 223632000, 'otherStockholderEquity': -77377000, 'propertyPlantEquipment': 3125437000, 'totalCurrentAssets': 18687401000, 'netTangibleAssets': 17505250000, 'netReceivables': 5634095000, 'inventory': 4459168000, 'accountsPayable': 3128703000}}, {'2019-12-31': {'totalStockholderEquity': 16229295000, 'netTangibleAssets': 16226597000}}, {'2019-09-30': {'intangibleAssets': 2698000, 'totalLiab': 6662743000, 'totalStockholderEquity': 16229295000, 'otherCurrentLiab': 3246781000, 'totalAssets': 22892038000, 'commonStock': 112651000, 'otherCurrentAssets': 672424000, 'otherLiab': 325396000, 'treasuryStock': 16116644000, 'otherAssets': 1748376000, 'cash': 6857641000, 'totalCurrentLiabilities': 6169379000, 'deferredLongTermAssetCharges': 273951000, 'otherStockholderEquity': 16116644000, 'propertyPlantEquipment': 3145005000, 'totalCurrentAssets': 17995959000, 'netTangibleAssets': 16226597000, 'shortTermInvestments': 577871000, 'netReceivables': 5909947000, 'inventory': 3978076000, 'accountsPayable': 2747915000}}]"
3PLAND.NS,[]
5PAISA.NS,"[{'2020-06-30': {'totalStockholderEquity': 1382440000, 'netTangibleAssets': 1357600000}}, {'2020-03-31': {'intangibleAssets': 24840000, 'capitalSurplus': 1694220000, 'totalLiab': 4894060000, 'totalStockholderEquity': 1382440000, 'totalAssets': 6276500000, 'commonStock': 254780000, 'otherCurrentAssets': 4545390000, 'retainedEarnings': -640150000, 'otherLiab': 25930000, 'treasuryStock': 73590000, 'otherAssets': 231910000, 'cash': 200810000, 'totalCurrentLiabilities': 4826560000, 'deferredLongTermAssetCharges': 231910000, 'otherStockholderEquity': 73590000, 'propertyPlantEquipment': 74320000, 'totalCurrentAssets': 5892950000, 'longTermInvestments': 52480000, 'netTangibleAssets': 1357600000, 'netReceivables': 1110800000, 'accountsPayable': 2399800000}}, {'2019-12-31': {'totalStockholderEquity': 1414578000, 'netTangibleAssets': 1410736000}}, {'2019-09-30': {'intangibleAssets': 3842000, 'totalLiab': 2741328000, 'totalStockholderEquity': 1414578000, 'totalAssets': 4155906000, 'commonStock': 254776000, 'otherLiab': 1833940000, 'treasuryStock': 1159802000, 'otherAssets': 235828000, 'cash': 2485246000, 'totalCurrentLiabilities': 907388000, 'deferredLongTermAssetCharges': 217983000, 'otherStockholderEquity': 1159802000, 'propertyPlantEquipment': 101880000, 'totalCurrentAssets': 3436018000, 'longTermInvestments': 378338000, 'netTangibleAssets': 1410736000, 'netReceivables': 918200000, 'inventory': 32572000, 'accountsPayable': 920000}}]"
63MOONS.NS,[]
719GS2060.NS,
732GS2024.NS,
74GS2035.NS,
833GS2036.NS,
