symbol,time,price,upperBand,lowerBand,bandWidth,rsi,upperSlope,realSlope,lowerSlope,upperI,realI,lowerI,action

SBUX,2020-05-13 00:31:13.672849,75.88999938964844,77.87794885336734,71.76977148354672,0.10904136270466691,31.043994300803732,0.09409251747066244,0.280821444383308,0.15439377079929106,78.55790840875044,74.8497000167619,69.97409441890814,hold
SQ,2020-05-13 00:31:18.830365,77.04499816894531,77.33472879477432,61.655271357813575,0.3589855021638508,84.06976010546205,1.314054471852095,0.9516421645434936,-0.35462144290503395,68.95342195122787,71.47940370929774,55.56996552499577,not in portfolio
ERI,2020-05-13 00:31:24.884215,24.200000762939453,23.152648402061633,17.52135214725477,0.5609075159849427,62.68581221061624,0.2479062450330391,0.761716501036687,-0.03282413765990075,22.027094051978903,18.541194346413683,13.72987641053549,hold
AAL,2020-05-13 00:31:31.302449,9.654999732971191,11.936400197440133,8.72260000855352,0.3540028707144112,42.514369133659734,-0.07230494585433786,0.07208954398311786,-0.04389654599974656,12.957695851505257,9.53514936077061,9.00896856524917,hold
ATVI,2020-05-13 00:31:37.678507,73.86499786376953,76.03471402913343,63.3462849637865,0.20660371017238977,50.452007727549585,0.6006608539409821,0.30790995128119175,0.14436312399344367,71.41237746806269,72.82485164813141,60.11547316410667,hold
UBER,2020-05-13 00:31:44.308352,33.564998626708984,33.34286374937985,27.10913667786624,0.25748189016327727,67.60505676697376,0.3419298652065193,0.6429103452767899,-0.059713455779503356,30.897208234269414,29.54985103322499,25.955986087889624,hold
PG,2020-05-13 00:31:51.965773,115.41000366210938,118.0273861194571,113.07465245476163,0.08958070899818292,33.678888801337465,-0.024769163197655247,0.4346274760232044,-0.0168147150490514,123.05621446085574,113.17104202953738,112.42210531644793,not in portfolio
TSLA,2020-05-13 00:31:58.734902,828.5800170898438,835.2130514341168,731.7909524721333,0.2055775684840634,53.98392062588952,-2.2648312416640293,6.920224317863806,13.557874554761623,845.864312059685,785.0053665388875,611.6977740855168,hold
MRK,2020-05-13 00:32:06.441526,77.97840118408203,79.85823747836211,75.67576215542694,0.1254639709029165,48.327580116432564,-0.042496442334649574,0.2911198744133337,-0.23595116148888368,85.18230765284504,76.18686630476766,76.03794515568312,not in portfolio
WORK,2020-05-13 00:32:13.729977,31.93000030517578,31.736779875293287,25.578220277294605,0.25387247615861314,55.94623144107725,0.338314970362771,0.5502239768184833,0.031192518912805164,29.47951143885301,28.8453729259434,24.291667418751064,hold
ENPH,2020-05-13 00:32:21.774980,62.43000030517578,61.24615740945701,41.52984356710549,0.7054371603319182,78.36138536591372,1.6788203910892865,1.4717164964818243,-0.4855517176337492,50.453876745585596,53.17119438968487,32.25657115794789,not in portfolio
TWLO,2020-05-13 00:32:29.319155,194.42999267578125,193.15414838198322,89.94013414975504,0.9689151061968257,89.12514293423382,9.204070826643198,8.904625849937325,-3.9593171057760967,128.9643730404506,145.87104694878877,86.34671653501799,not in portfolio
